Date	Time	Latitude(N)	Longitude(E)
2011-09-10	22:00	 38.56067	  27.11800
2011-09-11	06:00	 38.30383	  27.19067
2011-09-11	10:00	 37.31867	  27.45750
2011-09-11	14:00	 36.33067	  28.14600
2011-09-11	18:00	 36.27017	  28.07833
2011-09-11	22:00	 36.27000	  28.07817
2011-09-12	06:00	 36.27000	  28.07817
2011-09-12	10:00	 35.95333	  27.81983
2011-09-12	14:00	 34.58767	  27.89783
2011-09-12	18:00	 33.22317	  28.13133
2011-09-12	22:00	 32.31733	  28.40250
2011-09-13	06:00	 31.39467	  29.31667
2011-09-13	10:00	 30.37917	  29.51950
2011-09-13	14:00	 28.99367	  29.40733
2011-09-13	18:00	 28.15033	  29.30367
2011-09-13	22:00	 28.15517	  29.30650
2011-09-14	06:00	 28.15017	  29.30317
2011-09-14	10:00	 27.26900	  28.87150
2011-09-14	14:00	 25.56883	  28.26567
2011-09-14	18:00	 24.52600	  28.08833
2011-09-14	22:00	 24.52583	  28.09033
2011-09-15	06:00	 24.41400	  28.04550
2011-09-15	10:00	 23.11167	  27.52933
2011-09-15	14:00	 21.27067	  27.13883
2011-09-15	18:00	 20.48033	  26.75183
2011-09-15	22:00	 20.49300	  26.75583
2011-09-16	06:00	 20.48017	  26.75183
2011-09-16	10:00	 19.17433	  25.85917
2011-09-16	14:00	 17.99300	  25.40850
2011-09-16	18:00	 17.15433	  25.22550
2011-09-16	22:00	 17.15500	  25.22683
2011-09-17	06:00	 17.15383	  25.22400
2011-09-17	10:00	 16.59883	  24.85317
2011-09-17	14:00	 15.42150	  24.07050
2011-09-17	18:00	 15.01733	  24.05850
2011-09-17	22:00	 15.01567	  24.05767
2011-09-18	06:00	 15.01667	  24.05800
2011-09-18	10:00	 14.46000	  23.82550
2011-09-18	14:00	 13.48300	  23.48100
2011-09-18	18:00	 13.30667	  23.43033
2011-09-18	22:00	 13.31517	  23.43067
2011-09-19	06:00	 13.30033	  23.42817
2011-09-19	10:00	 12.81250	  22.96250
2011-09-19	15:00	 11.91433	  22.09800
2011-09-19	19:00	 11.85100	  22.08267
2011-09-19	23:00	 11.85083	  22.08267
2011-09-20	07:00	 11.81050	  22.05033
2011-09-20	11:00	 11.07633	  21.47317
2011-09-20	15:00	 10.20283	  20.54700
2011-09-20	19:00	  9.98433	  20.32533
2011-09-20	23:00	  9.98383	  20.32583
2011-09-21	07:00	  9.97067	  20.31350
2011-09-21	11:00	  9.20283	  19.66583
2011-09-21	15:00	  8.33083	  18.79433
2011-09-21	19:00	  7.99633	  18.52867
2011-09-21	23:00	  7.99600	  18.52833
2011-09-22	07:00	  7.99550	  18.52800
2011-09-22	11:00	  7.99817	  18.53600
2011-09-22	15:00	  7.99883	  18.53717
2011-09-22	19:00	  7.99950	  18.53583
2011-09-22	23:00	  7.99950	  18.53617
2011-09-23	07:00	  7.99733	  18.53550
2011-09-23	11:00	  7.66683	  17.99200
2011-09-23	15:00	  7.26917	  17.02817
2011-09-23	19:00	  7.27133	  17.00617
2011-09-23	23:00	  7.27183	  17.00400
2011-09-24	07:00	  7.27133	  17.00383
2011-09-24	11:00	  6.91967	  16.39067
2011-09-24	15:00	  6.10733	  15.54400
2011-09-24	19:00	  6.10767	  15.54200
2011-09-24	23:00	  6.10783	  15.54133
2011-09-25	07:00	  6.10700	  15.54267
2011-09-25	11:00	  5.36967	  15.17383
2011-09-25	15:00	  5.02817	  14.66550
2011-09-25	19:00	  4.97733	  14.64667
2011-09-25	23:00	  4.97733	  14.64683
2011-09-26	07:00	  4.95367	  14.64017
2011-09-26	11:00	  4.03967	  14.41267
2011-09-26	15:00	  3.10383	  13.84983
2011-09-26	19:00	  3.09833	  13.85183
2011-09-26	23:00	  3.09917	  13.85200
2011-09-27	11:00	  2.29467	  13.72100
2011-09-27	15:00	  1.78217	  13.10433
2011-09-27	19:00	  1.77983	  13.10467
2011-09-27	23:00	  1.78000	  13.10450
2011-09-28	07:00	  1.77750	  13.10250
2011-09-28	11:00	  1.75983	  13.09117
2011-09-28	15:00	  1.74983	  13.09800
2011-09-28	19:00	  1.74683	  13.09400
2011-09-28	23:00	  1.74733	  13.09450
2011-09-29	07:00	  1.74183	  13.09767
2011-09-29	11:00	  1.74150	  13.09833
2011-09-29	15:00	  1.74500	  13.09650
2011-09-29	19:00	  1.74683	  13.09400
2011-09-29	23:00	  1.74700	  13.09417
2011-09-30	07:00	  1.75050	  13.08783
2011-09-30	11:00	  1.75450	  13.08583
2011-09-30	15:00	  1.75533	  13.08167
2011-09-30	19:00	  1.75500	  13.08733
2011-09-30	23:00	  1.75500	  13.08683
2011-10-01	07:00	  1.75300	  13.08533
2011-10-01	11:00	  1.74900	  13.08600
2011-10-01	15:00	  1.74217	  13.08450
